field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text,field/6/_name,field/6/__text
Country or Area,New Zealand,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,64,Value Footnotes,
Country or Area,Nicaragua,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,138,Value Footnotes,
Country or Area,Niger,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,777,Value Footnotes,
Country or Area,Nigeria,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,6458,Value Footnotes,
Country or Area,Norway,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,61,Value Footnotes,
Country or Area,Oman,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,50,Value Footnotes,
Country or Area,Pakistan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,4764,Value Footnotes,
Country or Area,Panama,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,70,Value Footnotes,
Country or Area,Papua New Guinea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,208,Value Footnotes,
Country or Area,Paraguay,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,158,Value Footnotes,
Country or Area,Peru,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,591,Value Footnotes,
Country or Area,Philippines,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2358,Value Footnotes,
Country or Area,Poland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,410,Value Footnotes,
Country or Area,Portugal,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,97,Value Footnotes,
Country or Area,Qatar,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,21,Value Footnotes,
Country or Area,Republic of Korea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,479,Value Footnotes,
Country or Area,Republic of Moldova,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,44,Value Footnotes,
Country or Area,Romania,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,221,Value Footnotes,
Country or Area,Russian Federation,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1689,Value Footnotes,
Country or Area,Rwanda,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,449,Value Footnotes,
Country or Area,Saint Lucia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,3,Value Footnotes,
Country or Area,Saint Vincent and the Grenadines,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2,Value Footnotes,
Country or Area,Samoa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,4,Value Footnotes,
Country or Area,Sao Tome and Principe,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,5,Value Footnotes,
Country or Area,Saudi Arabia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,605,Value Footnotes,
Country or Area,Senegal,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,471,Value Footnotes,
Country or Area,Serbia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,110,Value Footnotes,
Country or Area,Sierra Leone,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,227,Value Footnotes,
